decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_7c35bc5ed0164db7,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_f76fdbbf3dde4af1,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_64b327bddfb34b1c,qb_run_20260425T042136Z_dbd1b0cc,,expansion,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_05933a9799c44046,qb_run_20260425T042136Z_dbd1b0cc,,expansion,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_d8ea2fe8c6d44d61,qb_run_20260425T042136Z_dbd1b0cc,,expansion,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_f0649f7006c2445f,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_cc0ad5f52233490f,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_5e4202411909467c,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_3b3aae3dc4804293,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_2e576d783fee4af4,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_b5db74d64c934355,qb_run_20260425T042136Z_dbd1b0cc,,trend,New York,,backtest_pipeline,,2.0,2.3839730442426146,,3,HIGH_QUALITY,
dc_bt_ad7d97893fff449f,qb_run_20260425T042136Z_dbd1b0cc,,trend,New York,,backtest_pipeline,,-1.0,,1.185155889526019,-2,LOW_QUALITY,
dc_bt_8565166eefd9413b,qb_run_20260425T042136Z_dbd1b0cc,,trend,New York,,backtest_pipeline,,-1.0,0.2376973737120486,1.035860133861094,-2,LOW_QUALITY,
dc_bt_0c70e4b299804209,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_a954c8c67a114b81,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_2e06fdc86a6a48a4,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_a622ed473f8b41d7,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_640e007218b845f3,qb_run_20260425T042136Z_dbd1b0cc,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_a62018fe85b24681,qb_run_20260425T042136Z_dbd1b0cc,,trend,London,,backtest_pipeline,,-1.0,0.20412371134022114,1.0484536082474172,-2,LOW_QUALITY,
dc_bt_d3a9e3fcff3c4b04,qb_run_20260425T042136Z_dbd1b0cc,,trend,London,,backtest_pipeline,,-1.0,0.6639710843373788,1.5187469879518352,-2,LOW_QUALITY,
