decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_9e780e9092c24101,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_10bdea434cd64cba,qb_run_20260425T055434Z_78f6ef7c,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_faead69d41134a7f,qb_run_20260425T055434Z_78f6ef7c,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_fdd2a8f3437d4afd,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_adf513fb7a944559,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_6252642cc0f74d0f,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_946bd54fcb0c4b32,qb_run_20260425T055434Z_78f6ef7c,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_76c9d0cc009243f2,qb_run_20260425T055434Z_78f6ef7c,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_7346475258a54b23,qb_run_20260425T055434Z_78f6ef7c,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_575dc90044c446f5,qb_run_20260425T055434Z_78f6ef7c,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_e007a2db62bc4bcb,qb_run_20260425T055434Z_78f6ef7c,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_51195e059854431d,qb_run_20260425T055434Z_78f6ef7c,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_a10fb794873d45ea,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_45c931df92454e36,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_d49f53e89edd4403,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_c4114f5966854eed,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_d4aebd043ae640a7,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ae8fd6f67711482a,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_9eac92b9062542af,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_9329c9eed95548c2,qb_run_20260425T055434Z_78f6ef7c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_9d6e41b80bae4a69,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_711e69d010334f77,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_627a3fb52bcf437c,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,backtest_pipeline,ALLOW,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_069d8e72f1bf48bf,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_59e13e9390274e62,qb_run_20260425T055434Z_78f6ef7c,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
