decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_e98539acd36845b5,qb_run_20260425T055454Z_3f78ff9c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_33e96b50b424453a,qb_run_20260425T055454Z_3f78ff9c,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_cf3a840e177244ce,qb_run_20260425T055454Z_3f78ff9c,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_645d1732cdab4a66,qb_run_20260425T055454Z_3f78ff9c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_9e6f0aab4a464b50,qb_run_20260425T055454Z_3f78ff9c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_6709cec9b45c434b,qb_run_20260425T055454Z_3f78ff9c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_fe5d31b0d27e4ac0,qb_run_20260425T055454Z_3f78ff9c,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_5de8b39e1fb74a83,qb_run_20260425T055454Z_3f78ff9c,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_4f43659e941f4f95,qb_run_20260425T055454Z_3f78ff9c,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_9ddcd83055694afc,qb_run_20260425T055454Z_3f78ff9c,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
