decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_2ffe102c98d94d67,qb_run_20260425T055514Z_7a7f7a73,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_cc62a5fef7a9464f,qb_run_20260425T055514Z_7a7f7a73,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_5143447593974c38,qb_run_20260425T055514Z_7a7f7a73,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_804e1e40889f40ad,qb_run_20260425T055514Z_7a7f7a73,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_30fd876807c94c9f,qb_run_20260425T055514Z_7a7f7a73,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_80bb7c478f7f449b,qb_run_20260425T055514Z_7a7f7a73,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_f07d9a24c2ab442a,qb_run_20260425T055514Z_7a7f7a73,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_2bb58c160bef4d7d,qb_run_20260425T055514Z_7a7f7a73,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_e759454df2474f7b,qb_run_20260425T055514Z_7a7f7a73,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_07dc3a010c71468d,qb_run_20260425T055514Z_7a7f7a73,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_2f64ded284e644ed,qb_run_20260425T055514Z_7a7f7a73,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_876ac29cfc414a59,qb_run_20260425T055514Z_7a7f7a73,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
