decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_1cde9d16ed8d422e,qb_run_20260425T055536Z_36979f52,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_c2a300ca1467400b,qb_run_20260425T055536Z_36979f52,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_82241472e6004829,qb_run_20260425T055536Z_36979f52,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_39b209a75d4b413d,qb_run_20260425T055536Z_36979f52,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_e4b348ccd4a34f5b,qb_run_20260425T055536Z_36979f52,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_6d8c0ca7b80a40a7,qb_run_20260425T055536Z_36979f52,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_632374ee5dc94c82,qb_run_20260425T055536Z_36979f52,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_a6b8837b8d6d4c26,qb_run_20260425T055536Z_36979f52,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_7ea72d20b0d9425d,qb_run_20260425T055536Z_36979f52,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_d1229af620b3460e,qb_run_20260425T055536Z_36979f52,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_04715f25fba64108,qb_run_20260425T055536Z_36979f52,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_cc11301f05f4458d,qb_run_20260425T055536Z_36979f52,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_d43885c0518848f9,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_b27c4e82129e4d34,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_5b355ab1dc534709,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_154fe9017d164d7d,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_00b7a017d23a4010,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_39e919ac58d74481,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_20a4934d1417482e,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_4b8d3575bd184658,qb_run_20260425T055536Z_36979f52,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_d7e1f406e11b49df,qb_run_20260425T055536Z_36979f52,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_495e92c950f24ec5,qb_run_20260425T055536Z_36979f52,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_c3116cc1e5a94dd8,qb_run_20260425T055536Z_36979f52,,expansion,New York,,backtest_pipeline,ALLOW,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_27fc438516514b35,qb_run_20260425T055536Z_36979f52,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_838707fd021a42cc,qb_run_20260425T055536Z_36979f52,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ce36be32af744c4b,qb_run_20260425T055536Z_36979f52,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_8746a798415b41c3,qb_run_20260425T055536Z_36979f52,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_3688f85f39f44bf6,qb_run_20260425T055536Z_36979f52,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_707cacaf9d814f9b,qb_run_20260425T055536Z_36979f52,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_aea7b3cf41b44c05,qb_run_20260425T055536Z_36979f52,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_5622a8abeda34359,qb_run_20260425T055536Z_36979f52,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
