decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_ef1ab944c08b4cd8,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_6f85724978c54d62,qb_run_20260425T055556Z_45ea944c,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_e0d2122be0454229,qb_run_20260425T055556Z_45ea944c,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_c8b8e0932a834ec0,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_cee00f31cc624db6,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_5ba7d48fe6e14cdb,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_8ba71c171ad24350,qb_run_20260425T055556Z_45ea944c,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_394188f6d96f4143,qb_run_20260425T055556Z_45ea944c,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_c823a531fd3248a2,qb_run_20260425T055556Z_45ea944c,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_524c03398a154912,qb_run_20260425T055556Z_45ea944c,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_8d892e62786f4b31,qb_run_20260425T055556Z_45ea944c,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_7561acd90ca544f0,qb_run_20260425T055556Z_45ea944c,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_8d0f978341d34b41,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_0b0bef47db534b5e,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_812bd73247994403,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_6e6811660ac9484f,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_39761bbaf5c74dc4,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_899cc70c098a4278,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_26079e7543a541e8,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_8add74c8875949fe,qb_run_20260425T055556Z_45ea944c,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_44f76bce411047a0,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_11bbb16435134238,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_7b1b7f05d4854f87,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,backtest_pipeline,ALLOW,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_ed43c980cdc24e33,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_bb0feb94b14047b9,qb_run_20260425T055556Z_45ea944c,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a3eb541da6d34c31,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,backtest_pipeline,ALLOW,1.9999999999999016,2.261708244458714,0.05323193916351606,3,HIGH_QUALITY,
dc_bt_235d75c6fbd34049,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,backtest_pipeline,ALLOW,2.0000000000000955,2.3568049817377337,0.3814142865697159,3,HIGH_QUALITY,
dc_bt_420944eb798a45f1,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,backtest_pipeline,ALLOW,1.9999999999999125,2.2432744043043003,0.14873174481174395,3,HIGH_QUALITY,
dc_bt_39b76c1f31f64979,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_24ac0aa091954349,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_d6ad6bed71f240d9,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_914b752958984f58,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ddda6386eb404baf,qb_run_20260425T055556Z_45ea944c,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
