decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_8d695e7b38494ccc,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_23fae027dfff4389,qb_run_20260425T053826Z_7c56e609,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_5c0e8be0c3d34ae5,qb_run_20260425T053826Z_7c56e609,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_869b2817edcd4f02,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_1af364e9617b42b4,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_a19db9f5afd94102,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_d0e1be1fd0aa403c,qb_run_20260425T053826Z_7c56e609,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_ff34c901c38e4642,qb_run_20260425T053826Z_7c56e609,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_cab9253cd40e4bed,qb_run_20260425T053826Z_7c56e609,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_508e812f334f4418,qb_run_20260425T053826Z_7c56e609,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_e089a0ee05ca455b,qb_run_20260425T053826Z_7c56e609,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_e9c7c655cfb9455f,qb_run_20260425T053826Z_7c56e609,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_07dcb8f7b3054aa0,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_b386e48e69944cfd,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_0a95460d4ce944b5,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_d3c29f3f014e40dd,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a929c846213545a1,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_c236c80974fb4159,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_694a3f64ed614474,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ad850e3deb9548e2,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_d5e451bad39342ed,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_be6f59c6ae8342c4,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_a482e2cd86864991,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_035d2e69c7f84fc2,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_71b75f6b41c44396,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_3bbfa6d63d49439c,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_cb1976ce0bb049c4,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_fa44baa06f6c4eb2,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_aeeb2755bafc4e4e,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_41d21e1228064e7d,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_c9e82b7b3adb4158,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_7be2b0a880b04683,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_edf4e4448fed4eb3,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_103dd1283933484b,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_19d86811bcf84ef4,qb_run_20260425T053826Z_7c56e609,,compression,Asia,,regime_profile,BLOCK,,,,0,UNKNOWN,
dc_bt_5c32525f7cff4a33,qb_run_20260425T053826Z_7c56e609,,compression,Asia,,regime_profile,BLOCK,,,,0,UNKNOWN,
dc_bt_089041b34b2a4973,qb_run_20260425T053826Z_7c56e609,,compression,Asia,,regime_profile,BLOCK,,,,0,UNKNOWN,
dc_bt_510cf5965f4b496d,qb_run_20260425T053826Z_7c56e609,,compression,Asia,,regime_profile,BLOCK,,,,0,UNKNOWN,
dc_bt_fc7117118d4347a0,qb_run_20260425T053826Z_7c56e609,,compression,Asia,,regime_profile,BLOCK,,,,0,UNKNOWN,
dc_bt_6e2782e6e1ed40c8,qb_run_20260425T053826Z_7c56e609,,expansion,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_de20eb2eabd74760,qb_run_20260425T053826Z_7c56e609,,expansion,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_2fcb3dbc172044b8,qb_run_20260425T053826Z_7c56e609,,expansion,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_8b64359d71c44718,qb_run_20260425T053826Z_7c56e609,,expansion,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_c47c42337281453f,qb_run_20260425T053826Z_7c56e609,,expansion,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_bbbb89c7c2f944c6,qb_run_20260425T053826Z_7c56e609,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.23469190311175275,1.008953543598033,-2,LOW_QUALITY,
dc_bt_13248d6de68c45dc,qb_run_20260425T053826Z_7c56e609,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.19790783149560456,1.011803788521372,-2,LOW_QUALITY,
dc_bt_48221b7ce95540f1,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,2.5420749015657846,0.08973537221865215,3,HIGH_QUALITY,
dc_bt_b7420604cab4408a,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,backtest_pipeline,ALLOW,1.9999999999999278,2.745346965609437,0.2253406179864485,3,HIGH_QUALITY,
dc_bt_758d9b3e6f6f45ee,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5949048592545916,0.9435445824815336,3,HIGH_QUALITY,
dc_bt_ae2b80fa9c1f45db,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_430739894bad41cf,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_2bce78884d5f4b8d,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_08aa8d9919364650,qb_run_20260425T053826Z_7c56e609,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_f4c00a993b034033,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_f5fcd6af25aa4a1d,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_accb40f0f0554347,qb_run_20260425T053826Z_7c56e609,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
