decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_585baacb483347bd,qb_run_20260425T053850Z_4e551417,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_06a8b7d252244371,qb_run_20260425T053850Z_4e551417,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_849650300b714379,qb_run_20260425T053850Z_4e551417,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_548e933cf6694542,qb_run_20260425T053850Z_4e551417,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_0443a7f43d4b4f76,qb_run_20260425T053850Z_4e551417,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_5c2eec53b77e4908,qb_run_20260425T053850Z_4e551417,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_bf50605fc7954bf8,qb_run_20260425T053850Z_4e551417,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_6d106d98d7234b5c,qb_run_20260425T053850Z_4e551417,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_37751534d4ff46a1,qb_run_20260425T053850Z_4e551417,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_d3d432de4e4d48eb,qb_run_20260425T053850Z_4e551417,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_38a66b4cba6a496c,qb_run_20260425T053850Z_4e551417,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_bfda1c2bbb22457a,qb_run_20260425T053850Z_4e551417,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_ea5cb1b7a2e34aa7,qb_run_20260425T053850Z_4e551417,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_ecd32c1525534cac,qb_run_20260425T053850Z_4e551417,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_686b5afe4da84f4e,qb_run_20260425T053850Z_4e551417,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_a3449137875b426f,qb_run_20260425T053850Z_4e551417,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
