decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_c7b250d3dab547bd,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_0cb39427ccbe4b79,qb_run_20260425T053907Z_61305cdc,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_ce81f4a9e5634fc9,qb_run_20260425T053907Z_61305cdc,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_e21b821be9514bc3,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_4720243f9370415d,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_716dee31bd904cc8,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_7af9d1c42ec042c3,qb_run_20260425T053907Z_61305cdc,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_53cdca0b4df14963,qb_run_20260425T053907Z_61305cdc,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_54813a37d14f46fd,qb_run_20260425T053907Z_61305cdc,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_3e36e4aea05046a8,qb_run_20260425T053907Z_61305cdc,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_fc96686229f34469,qb_run_20260425T053907Z_61305cdc,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_8a6195e905a143b2,qb_run_20260425T053907Z_61305cdc,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_300801af97494bb6,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_31fa79188acb4a2b,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_2b55ee3006cd408e,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_9a84c58c104542fc,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ceb92aaa9ff44e2c,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_bcef104385244fb2,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_77f87df646a84100,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_10d6b0398ffb4b0c,qb_run_20260425T053907Z_61305cdc,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_10c6ce6b9eda4f64,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_70ebe7b8bc90430c,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_c469cd95a66e45fd,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,backtest_pipeline,ALLOW,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_c0d44bf89a414fbd,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_1c37fd2795d24d6d,qb_run_20260425T053907Z_61305cdc,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_90db4444e438454a,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_4172fb28b4594a67,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_6bead5fbf0d84790,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_e7d2c95f534245bb,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_02ac9b758e7f4e45,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_0823d3ffada248df,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_9c21bf8d86ec4452,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_29105cac2a954ead,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_9f7ebfb6ec2c4a72,qb_run_20260425T053907Z_61305cdc,,trend,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
dc_bt_cd30f7d63103427e,qb_run_20260425T053907Z_61305cdc,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_475f1b6582c646fa,qb_run_20260425T053907Z_61305cdc,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a97e9283aba74c60,qb_run_20260425T053907Z_61305cdc,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_66cd468585694bc1,qb_run_20260425T053907Z_61305cdc,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_d96c70b3fe4a4531,qb_run_20260425T053907Z_61305cdc,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a8af01b4bc044f7f,qb_run_20260425T053907Z_61305cdc,,expansion,Asia,,regime_allowed_sessions,BLOCK,,,,0,UNKNOWN,
