decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_dfbc9f5385834a7b,qb_run_20260425T053925Z_5fe05f75,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_6703eee4b8b04bfa,qb_run_20260425T053925Z_5fe05f75,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_72e21b7443684b7a,qb_run_20260425T053925Z_5fe05f75,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_fd99f0415ddd4198,qb_run_20260425T053925Z_5fe05f75,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_4c9ff78fc75d4c9a,qb_run_20260425T053925Z_5fe05f75,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_a14182b6e0624916,qb_run_20260425T053925Z_5fe05f75,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_bee7d1ad34e54b82,qb_run_20260425T053925Z_5fe05f75,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_0a94577abcf14985,qb_run_20260425T053925Z_5fe05f75,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_97c0ff1acc1a4993,qb_run_20260425T053925Z_5fe05f75,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_e6be59a16c3a4b27,qb_run_20260425T053925Z_5fe05f75,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_4b85cce0fd7f496e,qb_run_20260425T053925Z_5fe05f75,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_f41f285ce03a4800,qb_run_20260425T053925Z_5fe05f75,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_84c81fbc06964829,qb_run_20260425T053925Z_5fe05f75,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_b47f9dccd1564c3a,qb_run_20260425T053925Z_5fe05f75,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_d1e3dbf9f0b0462e,qb_run_20260425T053925Z_5fe05f75,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_cbf29174dffe4a38,qb_run_20260425T053925Z_5fe05f75,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
