decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_00affcf21eef464d,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_64ceb928e413412b,qb_run_20260425T053950Z_656da8a9,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_49f562e495b94b2d,qb_run_20260425T053950Z_656da8a9,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_504a52ade3724bfd,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_4030474590cb4798,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_1c2a3eadf3d84650,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_09191d13184345e7,qb_run_20260425T053950Z_656da8a9,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_5cb618d631bf43b8,qb_run_20260425T053950Z_656da8a9,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_72e2ae4f0aa0452b,qb_run_20260425T053950Z_656da8a9,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_545c32dd9f564ace,qb_run_20260425T053950Z_656da8a9,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_824c5bc293424a2e,qb_run_20260425T053950Z_656da8a9,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_1c938130363d41c0,qb_run_20260425T053950Z_656da8a9,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_11816ec9bb4342a3,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_2966925b20104ab4,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_997fec7e6fa34062,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_2c6835ad2a424e2e,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a1b5bda280ee4cc6,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_eea460223b294b6c,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a1f4cc2437004e14,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_4fb0a76da7f04da7,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_e2536310f21a4fa0,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_c88b7254d3e84bb8,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_55013dd2a04f4247,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_26c3fed564744bea,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_8949409348b94b0c,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_5585c2ffb039498c,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,1.9999999999999016,2.261708244458714,0.05323193916351606,3,HIGH_QUALITY,
dc_bt_2f941800aa1245d8,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,2.0000000000000955,2.3568049817377337,0.3814142865697159,3,HIGH_QUALITY,
dc_bt_19cc54dde5d94bcc,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,1.9999999999999125,2.2432744043043003,0.14873174481174395,3,HIGH_QUALITY,
dc_bt_b4b455c4b5a0469b,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_c178e8e5766a40c8,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_f50e8e388b994555,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a4da04498fce43b4,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ea1ca121d99744e0,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_9d13830a571b4de2,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_698f9497e75b4e02,qb_run_20260425T053950Z_656da8a9,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_478221c9d2d640b5,qb_run_20260425T053950Z_656da8a9,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_6e8454d5e048408b,qb_run_20260425T053950Z_656da8a9,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_e02bd55fec2f493f,qb_run_20260425T053950Z_656da8a9,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_17423a94ba574b72,qb_run_20260425T053950Z_656da8a9,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_8c9dc30461a04ce6,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,backtest_pipeline,ALLOW,-1.0,,1.2463624145386445,-2,LOW_QUALITY,
dc_bt_d5204061df2a4e00,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,backtest_pipeline,ALLOW,-1.0,0.19590958019375784,1.3250269106566936,-2,LOW_QUALITY,
dc_bt_d90624d80b654860,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,backtest_pipeline,ALLOW,-1.0,0.07729316192121818,1.7225333228173096,-2,LOW_QUALITY,
dc_bt_2ed90bc2ac34491b,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_7f46ffb0962142f5,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_da6de7b52f9443ee,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_498e04e2bb704d45,qb_run_20260425T053950Z_656da8a9,,trend,New York,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_7dde24a809fc4716,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,2.5420749015657846,0.08973537221865215,3,HIGH_QUALITY,
dc_bt_d3241c4fde3b4512,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,1.9999999999999278,2.745346965609437,0.2253406179864485,3,HIGH_QUALITY,
dc_bt_8aecc5e5430149e7,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5949048592545916,0.9435445824815336,3,HIGH_QUALITY,
dc_bt_389ef6f3b9e2448a,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_73858f631b014d44,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_a6f37990246341e2,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_14f1eae5993a4717,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_7dfca74d68f041c6,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,-1.0,1.1035285404434143,1.2442469449293585,-2,LOW_QUALITY,
dc_bt_c907388a6d12411d,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,-1.0,1.1789924973203834,1.0861021793497632,-1,LOW_QUALITY,
dc_bt_46ea1f7d4b174e02,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,-1.0,1.0757271285034267,1.271179270227307,-2,LOW_QUALITY,
dc_bt_bfd3a2e9263b4621,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,-1.0,0.6168263514932192,1.8504790544792125,-2,LOW_QUALITY,
dc_bt_0b55022e84df418a,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,-1.0,0.41520104834821625,2.0180702117386264,-2,LOW_QUALITY,
dc_bt_f9015c5ae6414ee6,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,1.999999999999892,39.75443475901222,0.8452328460468305,3,HIGH_QUALITY,
dc_bt_14f52cf0c1b842fb,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,2.0,38.44959704055916,,3,HIGH_QUALITY,
dc_bt_25f278a32bc241ea,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,backtest_pipeline,ALLOW,-1.0,,3.3339572025703172,-2,LOW_QUALITY,
dc_bt_04cdbc65d4d74139,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_949030d349e44cd2,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_32a932c7bc524801,qb_run_20260425T053950Z_656da8a9,,trend,New York,,backtest_pipeline,ALLOW,2.0000000000001186,3.455114822547143,0.07828810020869952,3,HIGH_QUALITY,
dc_bt_da2e941a5fe848b4,qb_run_20260425T053950Z_656da8a9,,trend,New York,,backtest_pipeline,ALLOW,2.0,2.333586984092564,,3,HIGH_QUALITY,
dc_bt_ac174aa4bd624828,qb_run_20260425T053950Z_656da8a9,,trend,New York,,backtest_pipeline,ALLOW,-1.0,1.1754565189630228,1.1709871025412157,-1,LOW_QUALITY,
dc_bt_fa2631ff54fa4e1b,qb_run_20260425T053950Z_656da8a9,,trend,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_7479112274ca4b23,qb_run_20260425T053950Z_656da8a9,,trend,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_f93a41e7e9654857,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_b9893722e382415e,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_dec701fbac2d4b0f,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,2.550808510638277,0.0680851063829942,3,HIGH_QUALITY,
dc_bt_633a947e18b74f70,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,2.0000000000000817,2.035082312453533,0.46130929450135066,3,HIGH_QUALITY,
dc_bt_8fa084d50d294d6c,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,0.3562461830766244,1.6244825948294421,-2,LOW_QUALITY,
dc_bt_dc27ae8497c2498b,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,,1.0664565274495537,-2,LOW_QUALITY,
dc_bt_1d7d6472889d4db0,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,0.6682796050480627,1.1809324527562068,-2,LOW_QUALITY,
dc_bt_3c45167df0c34c4c,qb_run_20260425T053950Z_656da8a9,,trend,London,,backtest_pipeline,ALLOW,2.0000000000001066,2.5565298882121983,0.41656068009915703,3,HIGH_QUALITY,
dc_bt_3861bc0f21a248ef,qb_run_20260425T053950Z_656da8a9,,trend,London,,backtest_pipeline,ALLOW,2.0,2.729767246666958,,3,HIGH_QUALITY,
dc_bt_3cf3e566edd34b83,qb_run_20260425T053950Z_656da8a9,,trend,London,,backtest_pipeline,ALLOW,-1.0,1.8270584921604198,2.365975025819148,-2,LOW_QUALITY,
dc_bt_7be63b7dfc2f4568,qb_run_20260425T053950Z_656da8a9,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_42ea5ae5f5b74bfd,qb_run_20260425T053950Z_656da8a9,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ec8bc378bfdd4bde,qb_run_20260425T053950Z_656da8a9,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_22ff8e849e6f4c24,qb_run_20260425T053950Z_656da8a9,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_0865aeb1be1144c3,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,0.2675808506764865,1.0236029367150403,-2,LOW_QUALITY,
dc_bt_40e40ab0caff46cf,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,2.000000000000047,2.664445558274624,0.7945867853878994,3,HIGH_QUALITY,
dc_bt_ad75b55e407b4e86,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,2.0000000000000444,2.4089385474860547,0.5897206703910847,3,HIGH_QUALITY,
dc_bt_7aadd56647774f56,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6062440870387703,1.1004730368968667,-2,LOW_QUALITY,
dc_bt_5fb3da88a4554450,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,2.0,2.6886435808256404,0.7903624174605585,3,HIGH_QUALITY,
dc_bt_765213f2974d4a63,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,2.000000000000044,2.2235385296723007,0.40766164747565875,3,HIGH_QUALITY,
dc_bt_fdd75e15a0e040ce,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,backtest_pipeline,ALLOW,2.0000000000000515,2.183678108661114,0.9033871334394259,3,HIGH_QUALITY,
dc_bt_0fb321a7d4ce49e5,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_19465c24462c4fcb,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_f070c86b30b0438b,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ca6df2388fb7458f,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_dce0cc7da2524c30,qb_run_20260425T053950Z_656da8a9,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_7a073f6201204d47,qb_run_20260425T053950Z_656da8a9,,compression,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_f28aa2cb5550472b,qb_run_20260425T053950Z_656da8a9,,expansion,Overlap,,backtest_pipeline,ALLOW,2.0000000000000613,2.139602837424883,0.6771371998693256,3,HIGH_QUALITY,
dc_bt_960fa597365d421e,qb_run_20260425T053950Z_656da8a9,,expansion,Overlap,,backtest_pipeline,ALLOW,2.0,2.6712152164859364,,3,HIGH_QUALITY,
dc_bt_87473a66b3d3472c,qb_run_20260425T053950Z_656da8a9,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,2.4940034506459154,-2,LOW_QUALITY,
dc_bt_bf56d291ccac4250,qb_run_20260425T053950Z_656da8a9,,expansion,Asia,,backtest_pipeline,ALLOW,-1.0,0.2954789499018829,1.5689759445081977,-2,LOW_QUALITY,
dc_bt_0114364575c04f0d,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,0.023583202983976145,1.020815786307315,-2,LOW_QUALITY,
dc_bt_543ff01571674798,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,0.31537544696069064,1.536328963051263,-2,LOW_QUALITY,
dc_bt_7d6ac547b83f49ea,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,0.17406160369120588,1.597456041900501,-2,LOW_QUALITY,
dc_bt_3d0dbd0d3fba40db,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,,1.1681818181818397,-2,LOW_QUALITY,
dc_bt_d980f13b67e44ebc,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,0.050322444233028514,1.493392536208964,-2,LOW_QUALITY,
dc_bt_488adbb5547f4343,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,backtest_pipeline,ALLOW,-1.0,,1.1541197008556159,-2,LOW_QUALITY,
dc_bt_9ab2f04aae644419,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_f8948bf03ba74066,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_dfd94b107db64cb1,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_2c934d0b1d434e89,qb_run_20260425T053950Z_656da8a9,,trend,Overlap,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_a0e3cbbd76cd4b57,qb_run_20260425T053950Z_656da8a9,,trend,New York,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_426991026a6242d8,qb_run_20260425T053950Z_656da8a9,,trend,New York,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_6019e59b53654b0e,qb_run_20260425T053950Z_656da8a9,,trend,New York,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_42eb3d02e256442f,qb_run_20260425T053950Z_656da8a9,,trend,New York,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
dc_bt_3152813673664057,qb_run_20260425T053950Z_656da8a9,,trend,New York,,daily_loss_cap,BLOCK,,,,0,UNKNOWN,
