decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_d0d708d747dd4ac6,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_3c0663acf6d24086,qb_run_20260425T054010Z_1a326ba3,,trend,New York,,backtest_pipeline,ALLOW,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_31de9e3e50764507,qb_run_20260425T054010Z_1a326ba3,,trend,New York,,backtest_pipeline,ALLOW,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_67ff1e4519e847e3,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_3c01ff12670a4d9a,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_f7bf588467aa4d9d,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,backtest_pipeline,ALLOW,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_a05301bc93c94a27,qb_run_20260425T054010Z_1a326ba3,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_26cccb7348784631,qb_run_20260425T054010Z_1a326ba3,,trend,London,,backtest_pipeline,ALLOW,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_a50a524e211540be,qb_run_20260425T054010Z_1a326ba3,,trend,London,,backtest_pipeline,ALLOW,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_0dcfcf38ffe14f02,qb_run_20260425T054010Z_1a326ba3,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_f7fb379db7c14d17,qb_run_20260425T054010Z_1a326ba3,,trend,London,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_e0f1b952c25f479e,qb_run_20260425T054010Z_1a326ba3,,trend,London,,backtest_pipeline,ALLOW,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_1873c68e39d34b64,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_72222003589b4b87,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,backtest_pipeline,ALLOW,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_513cf5c0039041b1,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,backtest_pipeline,ALLOW,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_9ac48dfac873422c,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_75df0deb516146df,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_135391f047ef42fb,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_1c07eaa14eb14c5d,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_464d52f9f6af4ae6,qb_run_20260425T054010Z_1a326ba3,,trend,Overlap,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_ffd6988bb30a42a9,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_c2e96133932145e7,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,backtest_pipeline,ALLOW,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_68d13c421dc94de1,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,backtest_pipeline,ALLOW,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_2ffd245877b54984,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_8bdf1e9e0c004e76,qb_run_20260425T054010Z_1a326ba3,,expansion,New York,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
dc_bt_3c735dedb8524a94,qb_run_20260425T054010Z_1a326ba3,,trend,Asia,,backtest_pipeline,ALLOW,1.9999999999999016,2.261708244458714,0.05323193916351606,3,HIGH_QUALITY,
dc_bt_669a2634af164748,qb_run_20260425T054010Z_1a326ba3,,trend,Asia,,backtest_pipeline,ALLOW,2.0000000000000955,2.3568049817377337,0.3814142865697159,3,HIGH_QUALITY,
dc_bt_b5462d8110b8479d,qb_run_20260425T054010Z_1a326ba3,,trend,Asia,,backtest_pipeline,ALLOW,1.9999999999999125,2.2432744043043003,0.14873174481174395,3,HIGH_QUALITY,
dc_bt_566bd359f7d346bc,qb_run_20260425T054010Z_1a326ba3,,trend,Asia,,max_trades_per_session,BLOCK,,,,0,UNKNOWN,
