decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_1d9a9e27b829406d,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,backtest_pipeline,,-1.0,1.3953204413986966,1.0000152627482413,-1,LOW_QUALITY,
dc_bt_7b85726124b7437e,qb_run_20260425T051333Z_7e01f5fe,,trend,New York,,backtest_pipeline,,2.000000000000093,3.2208488805971136,,3,HIGH_QUALITY,
dc_bt_ded30136a23243e8,qb_run_20260425T051333Z_7e01f5fe,,trend,New York,,backtest_pipeline,,-1.0,0.35411397113523324,1.0623419134056997,-2,LOW_QUALITY,
dc_bt_171c222b7ca741c9,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,backtest_pipeline,,-1.0,0.450756494433338,1.262061090493902,-2,LOW_QUALITY,
dc_bt_93a01a7b8cc7440c,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,backtest_pipeline,,-1.0,,1.2848323983028687,-2,LOW_QUALITY,
dc_bt_8b34889e0b084943,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,backtest_pipeline,,-1.0,0.6362700775535517,1.0059911052302217,-2,LOW_QUALITY,
dc_bt_0897a85e8d944c82,qb_run_20260425T051333Z_7e01f5fe,,trend,London,,backtest_pipeline,,-1.0,0.871150219987428,1.1668898423195277,-2,LOW_QUALITY,
dc_bt_d2270c8956484710,qb_run_20260425T051333Z_7e01f5fe,,trend,London,,backtest_pipeline,,-1.0,0.48293893231595264,1.2127631192807908,-2,LOW_QUALITY,
dc_bt_a6271e67d01a4b38,qb_run_20260425T051333Z_7e01f5fe,,trend,London,,backtest_pipeline,,2.000000000000081,2.201980298311026,0.6381523968700272,3,HIGH_QUALITY,
dc_bt_71871e028b30482d,qb_run_20260425T051333Z_7e01f5fe,,trend,London,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_9cb582fa9f54486c,qb_run_20260425T051333Z_7e01f5fe,,trend,London,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_96399b99165b4b3e,qb_run_20260425T051333Z_7e01f5fe,,trend,London,,backtest_pipeline,,1.9999999999998956,2.033976124885037,0.37649219467406886,3,HIGH_QUALITY,
dc_bt_ff78f87d11594e3f,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,backtest_pipeline,,1.999999999999898,3.1181797817528714,0.11648372747926924,3,HIGH_QUALITY,
dc_bt_5d282fa98af4450d,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,backtest_pipeline,,1.999999999999901,2.6149925410242196,0.13923421183497167,3,HIGH_QUALITY,
dc_bt_4131123d9b8a4a46,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,backtest_pipeline,,2.0,3.5825988058002785,0.14905380216724298,3,HIGH_QUALITY,
dc_bt_8efe6ab0e5ef4923,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_550525dbf5fe4000,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_a5cb7f49d08e4f7a,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_7819f761b1df45b4,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_4a3f070dc53b464b,qb_run_20260425T051333Z_7e01f5fe,,trend,Overlap,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_857371946dd1423b,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,backtest_pipeline,,2.0,2.2326592127861478,0.7286810837334967,3,HIGH_QUALITY,
dc_bt_9a622b3b6d5e46c9,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,backtest_pipeline,,2.0,2.4823158631959914,0.29812069569278454,3,HIGH_QUALITY,
dc_bt_a9fd3045360e4d97,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,backtest_pipeline,,1.9999999999999487,2.316783802953088,0.07086208008254875,3,HIGH_QUALITY,
dc_bt_b28c125be0ec400b,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_bf440473d98341f9,qb_run_20260425T051333Z_7e01f5fe,,expansion,New York,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_5a3c811ebb0f4a6c,qb_run_20260425T051333Z_7e01f5fe,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_031aaf69dbcd4aa6,qb_run_20260425T051333Z_7e01f5fe,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_9e760e6abdc04e7d,qb_run_20260425T051333Z_7e01f5fe,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
