decision_cycle_id,run_id,symbol,regime,session,action,guard_name,guard_decision,pnl_r,mfe_r,mae_r,quality_score,quality_label,warnings
dc_bt_3be4d2896e6246d1,qb_run_20260425T050607Z_d3b45081,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_3c283ab6f9a64a48,qb_run_20260425T050607Z_d3b45081,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_0085f1f7455c421a,qb_run_20260425T050607Z_d3b45081,,trend,Asia,,regime_allowed_sessions,,,,,0,UNKNOWN,
dc_bt_7188520908844779,qb_run_20260425T050607Z_d3b45081,,trend,London,,backtest_pipeline,,-1.0,,1.3874415856474647,-2,LOW_QUALITY,
dc_bt_99156c1db3894a29,qb_run_20260425T050607Z_d3b45081,,trend,London,,backtest_pipeline,,1.9999999999999478,2.444331402504001,0.9273067393051826,3,HIGH_QUALITY,
dc_bt_e93572a520f347e1,qb_run_20260425T050607Z_d3b45081,,trend,London,,backtest_pipeline,,-1.0,0.007026880606776974,1.4488758584425996,-2,LOW_QUALITY,
dc_bt_36e5dd604c4045f7,qb_run_20260425T050607Z_d3b45081,,trend,New York,,backtest_pipeline,,2.0,2.976080493940039,0.1485479076149483,3,HIGH_QUALITY,
dc_bt_2dc9b47884dd4171,qb_run_20260425T050607Z_d3b45081,,trend,New York,,backtest_pipeline,,2.0,2.2423425517080977,,3,HIGH_QUALITY,
dc_bt_3404652d157c4572,qb_run_20260425T050607Z_d3b45081,,trend,New York,,backtest_pipeline,,-1.0,0.06384478255458902,1.095692550060153,-2,LOW_QUALITY,
dc_bt_e79cf73bbbf94600,qb_run_20260425T050607Z_d3b45081,,trend,New York,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_2094ff3833024acc,qb_run_20260425T050607Z_d3b45081,,trend,New York,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_21fed0140f814cbd,qb_run_20260425T050607Z_d3b45081,,trend,New York,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_3d818c6a9b6e486d,qb_run_20260425T050607Z_d3b45081,,trend,New York,,max_trades_per_session,,,,,0,UNKNOWN,
dc_bt_9a2b9fedbf3e4c0b,qb_run_20260425T050607Z_d3b45081,,compression,Asia,,regime_profile,,,,,0,UNKNOWN,
dc_bt_f13209796fa344ea,qb_run_20260425T050607Z_d3b45081,,compression,Asia,,regime_profile,,,,,0,UNKNOWN,
dc_bt_876a1b8db53e4267,qb_run_20260425T050607Z_d3b45081,,compression,Asia,,regime_profile,,,,,0,UNKNOWN,
